location,Basel,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Relative Humidity [2 m],Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20201214T1500,12.660529,49.0,10.365251,110.323135
20201214T1600,12.530529,47.0,11.298495,120.650665
20201214T1700,10.320529,52.0,13.392774,126.25384
20201214T1800,6.7705283,63.0,13.044722,129.40067
20201214T1900,5.3705287,62.0,13.18308,124.99202
20201214T2000,5.0105286,59.0,11.988594,131.34778
20201214T2100,4.8805285,62.0,11.480557,131.18591
20201214T2200,4.9105287,66.0,11.966953,96.911224
20201214T2300,4.8205285,76.0,13.708391,103.6713
20201215T0000,4.7305284,81.0,10.041354,104.534454
20201215T0100,5.2605286,79.0,9.0,106.2602
20201215T0200,5.8105288,75.0,10.829958,111.44774
20201215T0300,5.9005284,76.0,8.759178,99.46232
20201215T0400,5.6905284,77.0,10.308831,102.09476
20201215T0500,6.5005283,73.0,6.9153743,128.6598
20201215T0600,7.3005285,72.0,7.628263,109.29004
20201215T0700,5.9405284,86.0,13.910169,100.43748
20201215T0800,5.7605286,91.0,14.88242,122.15229
20201215T0900,7.3605285,85.0,11.457958,136.27303
20201215T1000,10.320529,78.0,9.0,143.1301
20201215T1100,10.070529,83.0,11.525623,128.6598
20201215T1200,9.140529,88.0,10.990322,121.6075
20201215T1300,9.250529,77.0,13.905509,111.2505
20201215T1400,10.170529,77.0,12.661564,104.82648
20201215T1500,10.500529,83.0,6.792466,122.00538
20201215T1600,10.790529,84.0,4.3498964,155.55605
20201215T1700,10.910529,81.0,2.2768397,161.56505
20201215T1800,11.080529,76.0,1.9386592,158.1986
20201215T1900,10.280529,79.0,5.95906,115.01689
20201215T2000,9.100529,83.0,9.422101,133.45184
20201215T2100,8.210529,84.0,9.085988,123.69006
20201215T2200,8.090529,86.0,7.729527,117.75854
20201215T2300,7.8905287,89.0,7.4128532,119.054596
20201216T0000,8.070529,91.0,8.225035,113.19859
20201216T0100,8.190529,92.0,5.3517847,132.27368
20201216T0200,7.6205287,95.0,7.8625183,105.9454
20201216T0300,7.8305287,94.0,11.269782,116.56505
20201216T0400,7.2105284,94.0,10.464797,116.56505
20201216T0500,6.1505284,96.0,9.693296,121.32869
20201216T0600,5.8205285,94.0,10.315115,119.248825
20201216T0700,6.0705285,97.0,10.1887,122.00538
20201216T0800,5.8805285,97.0,10.990322,121.6075
20201216T0900,5.6505284,96.0,11.609651,119.74488
20201216T1000,7.2305284,89.0,13.363711,117.255325
20201216T1100,9.610529,77.0,16.610792,119.898895
20201216T1200,10.850529,73.0,16.1198,119.42746
20201216T1300,11.600529,67.0,18.532135,119.054596
20201216T1400,11.900529,68.0,18.359999,118.07249
20201216T1500,12.020529,68.0,16.485485,121.6075
20201216T1600,11.470529,69.0,14.277983,123.69006
20201216T1700,9.840529,74.0,14.4,126.869896
20201216T1800,8.020529,78.0,13.246826,132.7974
20201216T1900,6.5905285,77.0,11.720751,132.51044
20201216T2000,6.4505286,84.0,12.031756,128.92754
20201216T2100,6.1805286,86.0,11.988594,131.34778
20201216T2200,6.0205283,84.0,10.948973,133.66777
20201216T2300,5.9205284,84.0,10.233123,129.2894
20201217T0000,5.5105286,90.0,10.233123,129.2894
20201217T0100,5.2505283,93.0,10.587918,125.31121
20201217T0200,4.9305286,92.0,10.383987,123.69006
20201217T0300,4.3005285,94.0,7.9036193,120.06859
20201217T0400,4.1805286,90.0,5.95906,115.01689
20201217T0500,4.3905287,83.0,8.699793,114.44395
20201217T0600,4.6305285,81.0,10.464797,116.56505
20201217T0700,5.5805287,76.0,9.290511,125.537674
20201217T0800,6.6005287,70.0,9.422101,133.45184
20201217T0900,6.7805285,73.0,8.404285,136.7357
20201217T1000,7.7105284,76.0,6.989936,124.508514
20201217T1100,9.240529,75.0,5.634891,116.56505
20201217T1200,10.680529,72.0,2.9024127,82.874985
20201217T1300,8.500529,77.0,3.2599385,96.34019
20201217T1400,9.120529,78.0,3.396233,147.99461
20201217T1500,9.020529,79.0,4.8433046,138.01279
20201217T1600,8.830529,79.0,5.95906,115.01689
20201217T1700,8.920529,77.0,6.725354,105.5241
20201217T1800,9.390529,78.0,7.628263,109.29004
20201217T1900,8.910529,82.0,8.699793,114.44395
20201217T2000,8.680529,85.0,8.854829,116.56505
20201217T2100,8.620529,85.0,8.557102,112.249016
20201217T2200,8.160529,84.0,8.854829,116.56505
20201217T2300,7.4705286,84.0,8.891343,121.759476
20201218T0000,6.7305284,84.0,7.729527,117.75854
20201218T0100,6.2005286,83.0,7.5685663,115.34617
20201218T0200,5.6405287,87.0,6.6185193,112.380135
20201218T0300,5.3805285,88.0,4.510787,118.61046
20201218T0400,5.3905287,87.0,4.452954,104.03624
20201218T0500,5.540529,83.0,5.937272,104.03624
20201218T0600,5.5005283,80.0,7.5170207,106.69924
20201218T0700,5.5305285,77.0,10.24578,108.434944
20201218T0800,4.5705285,80.0,9.83268,113.7495
20201218T0900,3.9705286,85.0,10.028439,111.03751
20201218T1000,5.1905284,84.0,10.137692,106.50436
20201218T1100,7.6005287,78.0,11.043261,109.025604
20201218T1200,10.100529,68.0,12.313893,105.25512
20201218T1300,10.460529,68.0,11.090103,103.13402
20201218T1400,11.730529,65.0,13.276144,102.52881
20201218T1500,12.130529,66.0,13.779114,109.85521
20201218T1600,11.960529,64.0,13.979872,124.508514
20201218T1700,9.8005295,67.0,15.192682,126.32683
20201218T1800,6.9205284,82.0,13.551501,129.61069
20201218T1900,5.790529,87.0,12.496718,131.49648
20201218T2000,5.4905286,81.0,12.229406,132.61406
20201218T2100,5.1305285,83.0,12.496718,131.49648
20201218T2200,4.4805284,88.0,12.819235,128.15723
20201218T2300,4.1705284,90.0,12.768586,130.42607
20201219T0000,4.0805287,88.0,12.768586,130.42607
20201219T0100,4.0105286,86.0,12.738099,132.70938
20201219T0200,3.8405285,86.0,11.720751,132.51044
20201219T0300,3.5805285,87.0,10.883676,124.2157
20201219T0400,3.6405284,86.0,11.609651,119.74488
20201219T0500,3.2005286,88.0,11.792404,121.26373
20201219T0600,2.2305286,92.0,13.584932,122.00538
20201219T0700,2.0305285,92.0,13.089354,121.50426
20201219T0800,1.8705287,93.0,12.387348,125.537674
20201219T0900,2.4205287,88.0,12.55879,117.29957
20201219T1000,4.3105288,83.0,13.527572,115.20112
20201219T1100,6.9605284,76.0,14.372974,112.0679
20201219T1200,9.090529,66.0,15.937878,108.434944
20201219T1300,9.460529,63.0,16.946787,102.26477
20201219T1400,10.8005295,59.0,16.854767,109.9831
20201219T1500,11.520529,59.0,15.137133,115.34617
20201219T1600,11.130529,62.0,13.708391,113.19859
20201219T1700,10.660529,57.0,14.982228,125.21759
20201219T1800,8.610529,59.0,15.696165,126.60707
20201219T1900,8.100529,61.0,13.479583,124.11447
20201219T2000,7.8905287,66.0,15.315873,119.577835
20201219T2100,7.6105285,72.0,15.315873,119.577835
20201219T2200,7.3205285,76.0,17.174677,123.023865
20201219T2300,6.9205284,80.0,15.876775,122.969406
20201220T0000,6.4505286,85.0,13.584932,122.00538
20201220T0100,6.1205287,88.0,11.753877,117.34987
20201220T0200,5.9405284,90.0,11.298495,112.47943
20201220T0300,5.6205287,92.0,11.503113,110.1363
20201220T0400,5.5005283,93.0,10.829958,111.44774
20201220T0500,5.5805287,93.0,10.829958,111.44774
20201220T0600,5.7105284,92.0,10.30883,114.77514
20201220T0700,5.9005284,91.0,10.30883,114.77514
20201220T0800,6.5705285,88.0,8.669949,131.63353
20201220T0900,7.1705284,86.0,6.151683,110.556046
20201220T1000,7.4905286,87.0,6.9899354,101.88866
20201220T1100,8.650529,88.0,2.1897945,170.53767
20201220T1200,9.580529,86.0,8.669949,265.23636
20201220T1300,8.970529,76.0,5.3999996,180.0
20201220T1400,10.110529,79.0,13.75558,276.009
20201220T1500,9.720529,76.0,14.494192,255.61862
20201220T1600,9.240529,79.0,11.966954,254.29138
20201220T1700,8.470529,83.0,13.138765,260.5377
20201220T1800,8.0505295,85.0,8.534353,242.35403
20201220T1900,7.8905287,85.0,6.9247384,207.89728
20201220T2000,7.5805287,83.0,7.5942073,185.44034
20201220T2100,7.5205283,80.0,6.489992,176.82018
20201220T2200,8.060529,76.0,5.4119864,176.18593
20201220T2300,7.9305286,78.0,2.6208394,195.9454
20201221T0000,7.1805286,80.0,3.0758414,249.44395
20201221T0100,6.0305285,82.0,8.225035,246.8014
20201221T0200,5.9405284,86.0,7.653705,221.18593
20201221T0300,5.9005284,88.0,5.634891,206.56505
20201221T0400,5.8105288,88.0,6.8399997,180.0
20201221T0500,5.4805284,85.0,7.92,180.0
20201221T0600,4.4805284,83.0,7.5942073,174.55966
20201221T0700,4.3605285,83.0,7.928177,140.52754
20201221T0800,3.6505284,90.0,9.178235,131.82016
20201221T0900,3.3905284,89.0,9.0,126.869896
20201221T1000,4.6505284,90.0,7.7879906,123.69006
20201221T1100,7.0805287,83.0,12.538134,129.17365
20201221T1200,9.330529,74.0,12.738099,137.2906
20201221T1300,11.250529,62.0,10.446206,178.02507
20201221T1400,11.710529,62.0,15.745627,190.53918
20201221T1500,12.780529,59.0,11.298495,239.34933
20201221T1600,10.380529,70.0,11.753876,229.96974
20201221T1700,9.5505295,75.0,17.873556,170.7274
20201221T1800,9.810529,74.0,16.676977,166.26373
20201221T1900,10.290529,69.0,17.28,180.0
20201221T2000,10.720529,72.0,15.876775,212.9694
20201221T2100,10.510529,77.0,14.480773,235.12466
20201221T2200,10.310529,81.0,12.287555,238.17256
20201221T2300,11.260529,78.0,9.0,253.7398
20201222T0000,12.120529,75.0,12.72283,244.88516
20201222T0100,12.520529,74.0,16.516901,249.59012
20201222T0200,12.330529,75.0,18.11841,249.04422
20201222T0300,12.380529,75.0,17.31746,249.30457
20201222T0400,12.480529,74.0,17.447933,248.1986
20201222T0500,12.400529,75.0,20.870687,255.00493
20201222T0600,11.890529,76.0,19.562946,257.24246
20201222T0700,11.5505295,78.0,19.914217,257.4712
20201222T0800,11.510529,78.0,19.93048,253.20163
20201222T0900,12.030529,76.0,20.268991,250.27773
20201222T1000,12.900529,74.0,25.38702,251.82199
20201222T1100,13.870529,71.0,26.072052,252.31561
20201222T1200,14.410529,71.0,28.528723,259.8245
20201222T1300,15.840529,65.0,33.27031,256.86597
20201222T1400,15.780529,67.0,31.006012,254.5115
20201222T1500,15.710529,69.0,26.200977,257.3004
20201222T1600,15.5505295,67.0,25.582806,256.1593
20201222T1700,14.860529,67.0,22.553934,245.48035
20201222T1800,13.900529,70.0,20.172853,235.1755
20201222T1900,14.140529,68.0,19.083395,234.21103
20201222T2000,14.030529,67.0,18.581022,234.46233
20201222T2100,13.760529,67.0,15.696165,233.39293
20201222T2200,13.8005295,66.0,14.081477,237.52881
20201222T2300,13.350529,68.0,12.261157,229.76364
20201223T0000,12.890529,69.0,8.891343,211.75949
20201223T0100,12.580529,70.0,6.830519,198.43495
20201223T0200,12.320529,72.0,6.12,180.0
20201223T0300,12.040529,73.0,7.289444,159.77515
20201223T0400,12.010529,71.0,7.9036193,149.93141
20201223T0500,12.250529,69.0,6.618519,135.0
20201223T0600,12.250529,70.0,6.6087217,119.35774
20201223T0700,12.290529,69.0,7.10031,120.465546
20201223T0800,12.250529,68.0,6.489992,146.30994
20201223T0900,12.270529,67.0,7.2359104,174.28941
20201223T1000,13.390529,64.0,9.659814,206.56505
20201223T1100,14.710529,62.0,17.148247,219.03552
20201223T1200,14.640529,65.0,21.407139,227.72632
20201223T1300,13.970529,71.0,5.815978,21.801407
20201223T1400,16.090528,64.0,8.759178,260.5377
20201223T1500,17.05053,56.0,21.605999,259.439
20201223T1600,16.580528,58.0,10.948973,260.5377
20201223T1700,15.790529,60.0,9.0,180.0
20201223T1800,13.780529,66.0,8.534353,242.35403
20201223T1900,12.870529,80.0,5.1165614,309.2894
20201223T2000,12.090529,87.0,1.609969,206.56505
20201223T2100,11.8005295,89.0,3.7064266,209.05461
20201223T2200,11.940529,87.0,8.12197,257.19574
20201223T2300,12.230529,81.0,15.546833,264.68546
20201224T0000,11.910529,80.0,13.397612,263.82983
20201224T0100,11.330529,84.0,23.664352,283.1906
20201224T0200,9.920529,78.0,26.649727,271.54816
20201224T0300,10.230529,75.0,24.569832,259.01935
20201224T0400,9.340529,66.0,21.120682,240.37625
20201224T0500,9.040529,65.0,20.08916,233.74615
20201224T0600,8.910529,63.0,20.746122,231.3402
20201224T0700,8.650529,62.0,23.686249,223.15239
20201224T0800,7.7105284,68.0,22.725668,220.50285
20201224T0900,8.270529,64.0,27.438046,231.92722
20201224T1000,8.850529,60.0,37.44346,236.7683
20201224T1100,9.220529,59.0,39.771446,242.50717
20201224T1200,9.100529,61.0,39.738846,250.41602
20201224T1300,9.900529,58.0,33.541878,257.6046
20201224T1400,9.360529,62.0,33.541878,257.6046
20201224T1500,8.560529,67.0,31.70658,257.54175
20201224T1600,7.9605284,70.0,31.999523,252.99207
20201224T1700,7.4405284,72.0,31.450073,254.0546
20201224T1800,6.790529,81.0,27.047956,260.0362
20201224T1900,6.4005284,84.0,21.288757,273.87854
20201224T2000,5.8905287,82.0,28.766228,315.50702
20201224T2100,3.1905286,84.0,22.702845,332.6223
20201224T2200,2.8105285,89.0,19.174856,320.33215
20201224T2300,3.1005285,89.0,17.884428,319.8991
20201225T0000,3.4805286,88.0,16.29174,315.0
20201225T0100,3.6805286,88.0,15.021105,315.971
20201225T0200,3.1605287,80.0,19.694992,341.89624
20201225T0300,2.7305286,79.0,18.692286,344.35776
20201225T0400,2.2405286,79.0,19.130875,340.20114
20201225T0500,1.5105287,81.0,16.279802,341.9657
20201225T0600,0.81052864,84.0,13.854155,335.43283
20201225T0700,0.39052868,85.0,11.592894,323.84183
20201225T0800,0.14052865,85.0,11.090103,305.7539
20201225T0900,0.86052865,81.0,12.768586,291.50143
20201225T1000,1.2405287,81.0,11.966953,291.16125
20201225T1100,1.8705287,79.0,10.1887,302.00537
20201225T1200,2.2405286,81.0,9.178235,311.8202
20201225T1300,3.8605285,74.0,22.461807,353.5584
20201225T1400,3.7405286,74.0,22.553936,351.74057
20201225T1500,3.8705285,75.0,24.387177,351.51105
20201225T1600,3.5205286,71.0,26.64,360.0
20201225T1700,2.6705287,76.0,20.880001,360.0
20201225T1800,1.8705287,80.0,17.64,360.0
20201225T1900,0.8905287,83.0,15.876775,356.09952
20201225T2000,0.18052867,85.0,12.245294,358.3153
20201225T2100,-0.36947134,88.0,7.9932976,352.23483
20201225T2200,-0.43947133,90.0,5.00128,329.7436
20201225T2300,-0.5394713,91.0,4.1046314,322.12503
20201226T0000,-0.62947136,91.0,4.6102495,321.3402
20201226T0100,-0.62947136,92.0,4.452954,345.96375
20201226T0200,-0.7494713,93.0,3.96,360.0
20201226T0300,-0.95947134,93.0,3.9763298,354.8056
20201226T0400,-1.2294713,94.0,3.8939953,326.30994
